#	CAMINHO NO XML	CAMPO	REGRAS DE NEGÓCIO PARA A NOTA FISCAL DE SERVIÇO ELETRÔNICA DO  SISTEMA NACIONAL NFS-e						NÍVEL DA REGRA	EMISSORES PÚBLICOS NACIONAIS NFS-e (SEFIN, WEB, APP)		ADN NFS-e		OBSERVAÇÕES DE NEGÓCIO
			Nível 1 - Regras de negócio para consistência do Leiaute NFS-e  Nível 2 - Regras de Negócio gerais para todos os municípios aderentes ao SN NFS-e  Nível 3 - Regras de Negócio específicas conforme legislação municipal do município parametrizada no SN NFS-e 							RNs EXECUTADAS NA RECEPÇÃO DE DPS EVIADAS PELOS EMITENTES (V), RNs EXECUTADAS NA GERAÇÃO DAS INFORMAÇÕES DE NFS-e PELOS EMISSORES PÚBLICOS NACIONAIS (V) E RNs NÃO EXECUTADAS (X)	NFS-e EMITIDA SOB CONDIÇÕES DE  DECISÃO JUDICIAL OU ADMINISTRATIVA (cStat = 102) RNs EXECUTADAS NA GERAÇÃO DE NFS-e PELOS EMISSORES PÚBLICOS NACIONAIS (SEFIN, WEB, APP) RNs EXECUTADAS (V) RNs NÃO EXECUTADAS (X)	RNs EXECUTADAS  NA RECEPÇÃO DE NFS-e COMPARTILHADAS  PELOS MUNICÍPIOS COM O  ADN NFS-e (V)  E RNs NÃO EXECUTADAS (X)	NFS-e EMITIDAS SOB CONDIÇÕES DE DECISÃO JUDICIAL OU ADMINISTRATIVA (cStat = 102) RNs EXECUTADAS  NA RECEPÇÃO DE NFS-e COMPARTILHADAS  PELOS MUNICÍPIOS COM O  ADN NFS-e (V) E RNs NÃO EXECUTADAS (X)	
121	NFSe/infNFSe/DPS/infDPS/prest/	IM	Se o emitente for o prestador de serviço (tpEmit = 1) e, se houver registro complementar do contribuinte no CNC do município correspondente ao município emissor da DPS, então a IM deve ser informada na DPS.  Utilizar o identificador federal (CNPJ ou CPF) do prestador de serviço e o codigo do município emissor (cLocEmi), ambos informados na DPS, para identificar as ocorrências no CNC NFS-e. Se houver pelo menos uma ocorrência, então o emitente da DPS deve informar o IM correspondente registrado no CNC NFS-e, que identifique unicamente o registro complementar.  Exceto quando o emitente da DPS for MEI na data de competência da emissão da NFS-e.		Obrig.	Rej.	E0116	A IM deve ser informada para o emitente prestador do serviço na DPS, conforme informações complementares registradas no CNC NFS-e do município emissor informado na DPS.	2	V	X	X	X	-
122			Verificar se o IM informado está autorizado a emitir NFS-e na data de processamento desta DPS, se o emitente for o prestador de serviço (tpEmit = 1) e, se houver registro complementar do contribuinte no CNC do município correspondente ao município emissor da DPS, então a IM deve ser informada na DPS.  Utilizar o identificador federal (CNPJ ou CPF) do prestador de serviço, o codigo do município emissor (cLocEmi) e o IM,  informados na DPS, para identificar o registro complementar no CNC NFS-e.  Exceto quando o emitente da DPS for MEI na data de competência da emissão da NFS-e.		Obrig.	Rej.	E0119	IM do emitente prestador não está autorizado a emitir NFS-e, conforme informações complementares registradas no CNC NFS-e do município emissor informado na DPS.	2	V	X	X	X	-
123			Se o emitente for o prestador de serviço (tpEmit = 1) e, se não houver registro complementar do contribuinte no CNC do município correspondente ao município emissor da DPS, então o IM não deve ser informado na DPS.  Utilizar o identificador federal (CNPJ ou CPF) do prestador de serviço, o codigo do município emissor (cLocEmi) e o IM,  informados na DPS, para identificar o registro complementar no CNC NFS-e.		Obrig.	Rej.	E0120	IM do prestador não deve ser informado, pois não existem informações complementares registradas no CNC NFS-e do município emissor informado na DPS.	2	V	X	X	X	-
124			Utilizar o identificador federal (CNPJ ou CPF) do prestador de serviço, o codigo do município emissor (cLocEmi) e o IM,  informados na DPS, para identificar o registro complementar no CNC NFS-e.  Para o emitente prestador de serviço (tpEmit = 1), verificar se o IM informado nesta DPS está Inativo (cStat) no CNC do município emissor na data de competência informada.   Se todos os registros complementares estiverem inativos, utilizar as informações dos cadastros RFB (CNPJ ou CPF), conforme identificador federal utilizado para identificar o emitente da DPS.		Obrig.	Rej.	E0124	O IM informado está inativo no CNC NFS-e do município emissor para a data de competência informada na DPS. 	2	V	X	X	X	-
125	NFSe/infNFSe/DPS/infDPS/prest/	xNome	Se o emitente da DPS for o prestador de serviço (tpEmit for igual a 1), então o nome ou razão social não deve ser informado.		Obrig.	Rej.	E0121	O nome ou razão social do prestador não deve ser informado quando o emitente da DPS for o próprio prestador.	2	V	X	V	X	-
126			Se o emitente da DPS não for o prestador de serviço (tpEmit for igual a 2 ou 3), então o nome ou razão social deve ser informado.		Obrig.	Rej.	E0122	O nome ou razão social do prestador deve ser informado quando o emitente da DPS não for o próprio prestador.	2	V	X	V	X	-
127			Se NIF do prestador for preenchido então o campo xNome deve ser preenchido obrigatoriamente.		Obrig.	Rej.	E0123	O preenchimento do nome empresarial é obrigatório quando o prestador for identificado com NIF.	1	V	X	V	X	-
128	NFSe/infNFSe/DPS/infDPS/prest/	end	Se o emitente da DPS for o tomador ou intermediário (tpEmit = 2 ou 3) o grupo de informações do endereço do prestador de serviço deve ser informado na DPS obrigatoriamente.		Obrig.	Rej.	E0129	O endereço do prestador deve ser informado na DPS quando o prestador não for o emitente da DPS.	1	V	X	V	X	-
129			Se o emitente da DPS é o prestador do serviço (tpEmit = 1), então o grupo de informações do endereço do prestador de serviço não deve ser informado na DPS.		Obrig.	Rej.	E0128	O endereço do prestador do serviço não deve ser informado na DPS quando o próprio prestador for o emitente da DPS.	1	V	X	V	X	-
130	NFSe/infNFSe/DPS/infDPS/prest/	endNac	Se o CNPJ ou CPF do prestador de serviço foi informado e o emitente da DPS não for o prestador (tpEmit = 2 ou 3), então o grupo de informações de endereço nacional do prestador do serviço deve ser informado obrigatoriamente.		Obrig.	Rej.	E0125	O endereço nacional do prestador do serviço deve ser informado na DPS quando for identificado pelo CNPJ ou CPF e o emitente da DPS for o tomador ou intermediário.	1	V	X	V	X	-
131	NFSe/infNFSe/DPS/infDPS/prest/end/endNac/	cMun	O código do município para o endereço do prestador do serviço não existe, conforme TAB.MUN_IBGE do ANEXO_A-MUNICIPIO_IBGE-PAISES_ISO2-SNNFSe.		Obrig.	Rej.	E0130	O código do município para o endereço do prestador do serviço não existe conforme tabela de município do IBGE.	1	V	X	V	X	-
132			Quando o endereço nacional do prestador for informado na DPS e o mesmo for identificado pelo CNPJ, o código do município do endereço do prestador, deve existir e corresponder ao município do seu endereço no cadastro CNPJ ou do endereço registrado em suas informações complementares no CNC NFS-e, na data de competência informada na DPS.		Obrig.	Rej.	E0132	O código do município informado na DPS para o endereço do prestador do serviço, identificado pelo CNPJ, não corresponde ao município registrado em seus cadastros na data de competência informada na DPS.	2	V	X	X	X	-
133			Quando o endereço nacional do prestador for informado na DPS e o mesmo for identificado pelo CPF, o código do município do endereço do prestador, deve existir e corresponder ao município do seu endereço no cadastro CPF ou do endereço registrado em suas informações complementares no CNC NFS-e, na data de competência informada na DPS.		Obrig.	Rej.	E0134	O código do município informado na DPS para o endereço do prestador do serviço, identificado pelo CPF, não corresponde ao município registrado em seus cadastros na data de competência informada na DPS.	2	V	X	X	X	-
134	NFSe/infNFSe/DPS/infDPS/prest/end/endNac/	CEP	O CEP informado deve existir e pertencer ao município correspondente ao código do município informado para o endereço do prestador do serviço.		Obrig.	Rej.	E0138	O CEP informado para o endereço nacional do prestador do serviço não existente ou não pertence ao município informado na DPS. Informe um CEP existente e que pertença ao município informado para o endereço do prestador do serviço na DPS.	1	V	X	V	X	-
135	NFSe/infNFSe/DPS/infDPS/prest/end/	endExt	Se o NIF do prestador de serviço foi informado e o emitente da DPS, tomador ou intermedirio (tpEmit = 2 ou 3), for identificado por CNPJ, então o grupo de informações de endereço no exterior do prestador do serviço deve ser informado obrigatoriamente.		Obrig.	Rej.	E0142	O grupo de informações de endereço no exterior deve ser informado obrigatoriamente quando o prestador for identificado pelo NIF e o emitente por CNPJ.	1	V	X	V	X	-
136	NFSe/infNFSe/DPS/infDPS/prest/end/endExt/	cPais	O código de país informado para o endereço no exterior do prestador do serviço deve existir e ser diferente de Brasil (BR), conforme a tabela ISO2.		Obrig.	Rej.	E0146	O código de país informado para o endereço no exterior do prestador do serviço não existe ou é igual ao código do Brasil. Informe um código de país existente e diferente do codigo do Brasil (BR) para o endereço no exterior do prestador do serviço, conforme tabela de país ISO2.	1	V	X	V	X	-
137	NFSe/infNFSe/DPS/infDPS/prest/end/endExt/	cEndPost	-		-	-	-	-	-	-	-	-	-	-
138	NFSe/infNFSe/DPS/infDPS/prest/end/endExt/	xCidade	-		-	-	-	-	-	-	-	-	-	-
139	NFSe/infNFSe/DPS/infDPS/prest/end/endExt/	xEstProvReg	-		-	-	-	-	-	-	-	-	-	-
140	NFSe/infNFSe/DPS/infDPS/prest/end/	xLgr	-		-	-	-	-	-	-	-	-	-	-
141	NFSe/infNFSe/DPS/infDPS/prest/end/	nro	-		-	-	-	-	-	-	-	-	-	-
142	NFSe/infNFSe/DPS/infDPS/prest/end/	xCpl	-		-	-	-	-	-	-	-	-	-	-
143	NFSe/infNFSe/DPS/infDPS/prest/end/	xBairro	-		-	-	-	-	-	-	-	-	-	-
144	NFSe/infNFSe/DPS/infDPS/prest/	fone	-		-	-	-	-	-	-	-	-	-	-
145	NFSe/infNFSe/DPS/infDPS/prest/	email	Email deve ser informado conforme estrutura (conter @, ponto etc.).		Obrig.	Rej.	E0148	Email inválido.	2	V	X	V	X	-
146	NFSe/infNFSe/DPS/infDPS/prest/	regTrib	-		-	-	-	-	-	-	-	-	-	-
147	NFSe/infNFSe/DPS/infDPS/prest/regTrib/	opSimpNac	Opção de situação perante o Simples Nacional do prestador, informada na DPS, não está de acordo com o cadastro Simples Nacional na data de competência informada na DPS. Se CNPJ do prestador não consta no cadastro então opSimpNac é igual a 1;		Obrig.	Rej.	E0160	No mês de competência da NFS-e, a opção de situação perante o Simples Nacional, do prestador, informada na DPS não está de acordo com o cadastro Simples Nacional.	2	V	X	X	X	-
148			Quando o emitente for MEI a NFS-e poderá ser compartilhada pelo município com o ADN somente se a data de competência for igual ou menor que 31/08/2023.		Obrig.	Rej.	E0161	NFS-e cujo emitente for MEI somente poderá ser compartilhada pelo município com o ADN se a data de competência, informada na NFS-e, for menor ou igual a 31/08/2023.	2	X	X	V	V	-
149	NFSe/infNFSe/DPS/infDPS/prest/regTrib/	regApTribSN	O regime de apuração dos tributos para o optante do Simples Nacional (ME/EPP) não pode ser preenchido quando o prestador de serviço não for optante do simples nacional ou for MEI, ou seja, o campo opSimpNac = 1 ou 2.		Obrig.	Rej.	E0162	Não é permitido ao não optante do Simples Nacional e o MEI preencherem o campo de indicação do regime de apuração dos tributos apurados.	2	V	X	V	X	-
150			O regime de apuração dos tributos para o optante do Simples Nacional (ME/EPP) deve ser preenchido obrigatoriamente quando o prestador de serviço for optante do simples nacional (ME/EPP), ou seja, o campo opSimpNac = 3.		Obrig.	Rej.	E0166	É obrigatorio o preenchimento do campo de regime de apuração dos tributos do SN para o optante do Simples Nacional ME/EPP.	2	V	X	V	X	-
151	NFSe/infNFSe/DPS/infDPS/prest/regTrib/	regEspTrib	Não é permitido informar Regime Especial de Tributação, ou seja, regEspTrib deve ser igual a 0 (Nenhum), quando o serviço prestado for imune, exportação de serviço ou não incidência do ISSQN sobre o serviço prestado, ou seja, o campo referente à tributação do ISSQN (tribISSQN) é igual a "2 - Imunidade, "3 - Exportação de Serviço" ou "4 - Não Incidência",  (tribISSQN = 2, 3 ou 4).		Obrig.	Rej.	E0172	O Regime Especial de Tributação deve ser "Nenhum" (regEspTrib = 0) quando o serviço prestado for diferente de Tributável (tribISSQN = 1), ou seja, tribISSQN = 2, 3 ou 4.	2	V	X	V	X	-
152			O tipo de regime especial de tributação deve ser "Nenhum", quando o prestador for MEI (opSimpNac = 2).		Obrig.	Rej.	E0174	Quando o prestador da NFS-e é MEI (opSimpNac = 2) o regime especial de tributação deve ser "Nenhum" (regEspTrib = 0).	2	V	X	V	X	-
153			O tipo de regime especial de tributação deve ser "Nenhum" (regEspTrib = 0) quando o prestador for optante do Simples Nacional ME/EPP (opSimpNac = 3) e o regime de apuração dos tributos federais e municipal ocorrer pelo SN (regApTribSN = 1).		Obrig.	Rej.	E0175	Quando o prestador optante pelo Simples Nacional tiver o regime de apuração dos tributos ocorrendo também pelo Simples Nacional, o regime especial de tributação do ISSQN deve ser "Nenhum" (regEspTrib = 0).	2	V	X	V	X	-
154			Verificar se o Regime Especial de Tributação informado na DPS é admitido na parametrização do municipio de Incidência do ISSQN.		Obrig.	Rej.	E0177	Regime especial de tributação informado na DPS não é admitido na parametrização do município de incidência do ISSQN.	2	V	X	X	X	-
155			Quando o município de incidência do ISSQN é diferente do município emissor da NFS-e (cLocIncid é diferente de cLocEmi), somente é permitidos os seguintes valores para Regime Especial de Tributação para o prestador de serviço: "Nenhum" (regEspTrib = 0) ou "Profissional Autônomo" (regEspTrib = 5).		Obrig.	Rej.	E0176	É permitido informar na DPS somente "Nenhum" (regEspTrib = 0) ou "Profissional Autônomo" (regEspTrib = 5) para o regime especial de tributação do prestador de serviço quando o município de incidência do ISSQN é diferente do município emissor da NFS-e (cLocIncid é diferente de cLocEmi).	2	V	X	V	X	-
156			Verificar se é permitido para o prestador de serviço o regime especial de tributação associado ao com o código de tributação na data de competência, informados na DPS, de acordo com a parametrização do município de incidência do ISSQN.   Obs :  Além do regime especial de tributação parametrizado pelo município de incidência o ISSQN para o prestador de serviço,  o valor 0 (0 - Nenhum) também é permitido.		Obrig.	Rej.	E0178	Regime especial de tributação não permitido para o prestador do serviço com código de tributação na data de competência, informados na DPS, conforme parametrização do município de incidência do ISSQN.	2	V	X	X	X	-
