#	CAMINHO NO XML	CAMPO	REGRAS DE NEGÓCIO PARA A NOTA FISCAL DE SERVIÇO ELETRÔNICA DO  SISTEMA NACIONAL NFS-e						NÍVEL DA REGRA	EMISSORES PÚBLICOS NACIONAIS NFS-e (SEFIN, WEB, APP)		ADN NFS-e		OBSERVAÇÕES DE NEGÓCIO
			Nível 1 - Regras de negócio para consistência do Leiaute NFS-e  Nível 2 - Regras de Negócio gerais para todos os municípios aderentes ao SN NFS-e  Nível 3 - Regras de Negócio específicas conforme legislação municipal do município parametrizada no SN NFS-e 							RNs EXECUTADAS NA RECEPÇÃO DE DPS EVIADAS PELOS EMITENTES (V), RNs EXECUTADAS NA GERAÇÃO DAS INFORMAÇÕES DE NFS-e PELOS EMISSORES PÚBLICOS NACIONAIS (V) E RNs NÃO EXECUTADAS (X)	NFS-e EMITIDA SOB CONDIÇÕES DE  DECISÃO JUDICIAL OU ADMINISTRATIVA (cStat = 102) RNs EXECUTADAS NA GERAÇÃO DE NFS-e PELOS EMISSORES PÚBLICOS NACIONAIS (SEFIN, WEB, APP) RNs EXECUTADAS (V) RNs NÃO EXECUTADAS (X)	RNs EXECUTADAS  NA RECEPÇÃO DE NFS-e COMPARTILHADAS  PELOS MUNICÍPIOS COM O  ADN NFS-e (V)  E RNs NÃO EXECUTADAS (X)	NFS-e EMITIDAS SOB CONDIÇÕES DE DECISÃO JUDICIAL OU ADMINISTRATIVA (cStat = 102) RNs EXECUTADAS  NA RECEPÇÃO DE NFS-e COMPARTILHADAS  PELOS MUNICÍPIOS COM O  ADN NFS-e (V) E RNs NÃO EXECUTADAS (X)	
173	NFSe/infNFSe/DPS/infDPS/toma/	IM	Se o emitente for o prestador de serviço (tpEmit = 2) e, se houver registro complementar do contribuinte no CNC do município correspondente ao município emissor da DPS, então a IM deve ser informada na DPS.  Utilizar o identificador federal (CNPJ ou CPF) do tomador de serviço e o codigo do município emissor (cLocEmi), ambos informados na DPS, para identificar as ocorrências no CNC NFS-e. Se houver pelo menos uma ocorrência então o emitente da DPS deve informar o IM correspondente registrado no CNC NFS-e, que identifique unicamente o registro complementar.  Exceto quando o emitente da DPS for MEI na data de competência da emissão da NFS-e.		Obrig.	Rej.	E0228	A IM deve ser informada para o emitente tomador do serviço na DPS, conforme informações complementares registradas no CNC NFS-e do município emissor informado na DPS.	2	V	X	X	X	-
174			Verificar se o IM informado na DPS está autorizado a emitir NFS-e na data de processamento desta DPS, se o emitente for o tomador de serviço (tpEmit = 2) e, se houver registro complementar do contribuinte no CNC do município correspondente ao município emissor da DPS, então a IM deve ser informada na DPS.  Utilizar o identificador federal (CNPJ ou CPF) do tomador de serviço, o codigo do município emissor (cLocEmi) e o IM,  informados na DPS, para identificar o registro complementar no CNC NFS-e.  Exceto quando o emitente da DPS for MEI na data de competência da emissão da NFS-e.		Obrig.	Rej.	E0231	IM do emitente tomador não está autorizado a emitir NFS-e, conforme informações complementares registradas no CNC NFS-e do município emissor informado na DPS.	2	V	X	X	X	-
175			Se o emitente for o tomador de serviço (tpEmit = 2) e, se não houver registro complementar do contribuinte no CNC do município correspondente ao município emissor da DPS, então o IM não deve ser informado na DPS.  Utilizar o identificador federal (CNPJ ou CPF) do tomador de serviço, o codigo do município emissor (cLocEmi) e o IM,  informados na DPS, para identificar o registro complementar no CNC NFS-e.		Obrig.	Rej.	E0232	IM do tomador não deve ser informado, pois não existem informações complementares registradas no CNC NFS-e do município emissor informado na DPS.	2	V	X	X	X	-
176			Utilizar o identificador federal (CNPJ ou CPF) do prestador de serviço, o codigo do município emissor (cLocEmi) e o IM,  informados na DPS, para identificar o registro complementar no CNC NFS-e.  Para o emitente tomador de serviço (tpEmit = 2), verificar se o IM informado nesta DPS está Inativo (cStat) no CNC do município emissor na data de competência informada.   Se todos os registros complementares estiverem inativos, utilizar as informações dos cadastros RFB (CNPJ ou CPF), conforme identificador federal utilizado para identificar o emitente da DPS.		Obrig.	Rej.	E0229	O IM informado está inativo no CNC NFS-e do município emissor para a data de competência informada na DPS. 	2	V	X	X	X	-
177	NFSe/infNFSe/DPS/infDPS/toma/	xNome	Se NIF for preenchido então o campo xNome deve ser preenchido obrigatoriamente.		Obrig.	Rej.	E0233	O nome tomador deve ser preenchido obrigatoriamente quando o NIF do tomador for preenchido.	1	V	X	V	X	-
178	NFSe/infNFSe/DPS/infDPS/toma/	end	Quando o emitente da DPS informar um subitem da lista de serviço cuja incidência do ISSQN ocorra no local do estabelecimento/endereço do tomador, conforme planilha MUN.INCID_INFO.SERV., o endereço do tomador deve ser obrigatoriamente informado. 		Obrig.	Rej.	E0234	O endereço do tomador é obrigatório quando a incidência do ISSQN definida para o serviço prestado ocorrer no local do estabelecimento/domicílio do tomador.	2	V	V	V	V	-
179	NFSe/infNFSe/DPS/infDPS/toma/end/	endNac	Se o tpEmit é igual a 1 e o tomador foi identificado pelo CNPJ, então o grupo de informações de endereço nacional do tomador do serviço deve ser informado obrigatoriamente.		Obrig.	Rej.	E0235	O endereço nacional do tomador do serviço deve ser informado na DPS quando o tomador for identificado pelo CNPJ.	1	X	X	V	X	-
180			Se o emitente da DPS é o tomador do serviço (tpEmit = 2), então o grupo de informações do endereço nacional do tomador não deve ser informado na DPS.		Obrig.	Rej.	E0236	O endereço nacional do tomador do serviço não deve ser informado na DPS quando o próprio tomador do serviço for o emitente da DPS.	1	V	X	V	X	-
181			Se o valor do ISSQN deve ser retido pelo tomador do serviço (tpRetISSQN = 2), então o grupo de informações do endereço nacional deve ser informado na DPS obrigatoriamente, exceto se o emitente da DPS é o tomador do serviço (tpEmit = 2).		Obrig.	Rej.	E0237	O endereço nacional do tomador do serviço deve ser informado na DPS quando o valor do ISSQN for retido pelo tomador, exceto se o emitente da DPS é o próprio tomador do serviço.	1	V	X	V	X	-
182	NFSe/infNFSe/DPS/infDPS/toma/end/endNac/	cMun	O código do município informado para o endereço do tomador do serviço não existe, conforme tabela de municípios do IBGE.		Obrig.	Rej.	E0238	O código do município informado na DPS para o endereço do tomador do serviço não existe conforme tabela de município do IBGE.	1	V	V	V	V	-
183	NFSe/infNFSe/DPS/infDPS/toma/end/endNac/	CEP	O CEP informado deve existir e pertencer ao município correspondente ao código do município informado para o endereço do tomador do serviço.		Obrig.	Rej.	E0240	O CEP informado para o endereço nacional do tomador do serviço não existe ou não pertence ao município do endereço do tomador.	1	V	X	V	X	-
184	NFSe/infNFSe/DPS/infDPS/toma/end/	endExt	Se o NIF do tomador de serviço foi informado e o emitente da DPS for identificado por CNPJ, então o grupo de informações de endereço no exterior do tomador do serviço deve ser informado obrigatoriamente.		Obrig.	Rej.	E0242	O grupo de informações de endereço no exterior deve ser informado obrigatoriamente quando o tomador for identificado pelo NIF e o emitente por CNPJ.	1	V	X	V	X	-
185	NFSe/infNFSe/DPS/infDPS/toma/end/endExt/	cPais	O código de país informado para o endereço no exterior do tomador do serviço deve existir e ser diferente de Brasil (BR), conforme a tabela ISO2.		Obrig.	Rej.	E0246	O código de país informado para o endereço no exterior do tomador do serviço não existe ou é igual ao código do Brasil. Informe um código de país existente e diferente do codigo do Brasil (BR) para o endereço no exterior do tomador do serviço, conforme tabela de país ISO2.	1	V	V	V	V	-
186	NFSe/infNFSe/DPS/infDPS/toma/end/endExt/	cEndPost	-		-	-	-	-	-	-	-	-	-	-
187	NFSe/infNFSe/DPS/infDPS/toma/end/endExt/	xCidade	-		-	-	-	-	-	-	-	-	-	-
188	NFSe/infNFSe/DPS/infDPS/toma/end/endExt/	xEstProvReg	-		-	-	-	-	-	-	-	-	-	-
189	NFSe/infNFSe/DPS/infDPS/toma/end/	xLgr	-		-	-	-	-	-	-	-	-	-	-
190	NFSe/infNFSe/DPS/infDPS/toma/end/	nro	-		-	-	-	-	-	-	-	-	-	-
191	NFSe/infNFSe/DPS/infDPS/toma/end/	xCpl	-		-	-	-	-	-	-	-	-	-	-
192	NFSe/infNFSe/DPS/infDPS/toma/end/	xBairro	-		-	-	-	-	-	-	-	-	-	-
193	NFSe/infNFSe/DPS/infDPS/toma/	fone	-		-	-	-	-	-	-	-	-	-	-
194	NFSe/infNFSe/DPS/infDPS/toma/	email	Email deve ser informado conforme estrutura (conter @, ponto etc.).		Obrig.	Rej.	E0247	Email inválido.	2	V	X	V	X	-
