#	CAMINHO NO XML	CAMPO	REGRAS DE NEGÓCIO PARA A NOTA FISCAL DE SERVIÇO ELETRÔNICA DO  SISTEMA NACIONAL NFS-e						NÍVEL DA REGRA	EMISSORES PÚBLICOS NACIONAIS NFS-e (SEFIN, WEB, APP)		ADN NFS-e		OBSERVAÇÕES DE NEGÓCIO
			Nível 1 - Regras de negócio para consistência do Leiaute NFS-e  Nível 2 - Regras de Negócio gerais para todos os municípios aderentes ao SN NFS-e  Nível 3 - Regras de Negócio específicas conforme legislação municipal do município parametrizada no SN NFS-e 							RNs EXECUTADAS NA RECEPÇÃO DE DPS EVIADAS PELOS EMITENTES (V), RNs EXECUTADAS NA GERAÇÃO DAS INFORMAÇÕES DE NFS-e PELOS EMISSORES PÚBLICOS NACIONAIS (V) E RNs NÃO EXECUTADAS (X)	NFS-e EMITIDA SOB CONDIÇÕES DE  DECISÃO JUDICIAL OU ADMINISTRATIVA (cStat = 102) RNs EXECUTADAS NA GERAÇÃO DE NFS-e PELOS EMISSORES PÚBLICOS NACIONAIS (SEFIN, WEB, APP) RNs EXECUTADAS (V) RNs NÃO EXECUTADAS (X)	RNs EXECUTADAS  NA RECEPÇÃO DE NFS-e COMPARTILHADAS  PELOS MUNICÍPIOS COM O  ADN NFS-e (V)  E RNs NÃO EXECUTADAS (X)	NFS-e EMITIDAS SOB CONDIÇÕES DE DECISÃO JUDICIAL OU ADMINISTRATIVA (cStat = 102) RNs EXECUTADAS  NA RECEPÇÃO DE NFS-e COMPARTILHADAS  PELOS MUNICÍPIOS COM O  ADN NFS-e (V) E RNs NÃO EXECUTADAS (X)	
209			Se o valor do campo cNaoNIF do intermediário, informado na DPS, for 0, então a DPS deve ser rejeitada.		Obrig.	Rej.	E0286	Valor 0 para o motivo da não informação do NIF do intermediário não é permitido na Sefin do Sistema Nacional NFS-e.	2	V	X	X	X	-
210	NFSe/infNFSe/DPS/infDPS/interm/	CAEPF	-		-	-	-	-	-	-	-	-	-	-
211	NFSe/infNFSe/DPS/infDPS/interm/	IM	Se o emitente for o prestador de serviço (tpEmit = 3) e, se houver registro complementar do contribuinte no CNC do município correspondente ao município emissor da DPS, então a IM deve ser informada na DPS.  Utilizar o identificador federal (CNPJ ou CPF) do prestador de serviço e o codigo do município emissor (cLocEmi), ambos informados na DPS, para identificar as ocorrências no CNC NFS-e. Se houver pelo menos uma ocorrência então o emitente da DPS deve informar o IM correspondente registrado no CNC NFS-e, que identifique unicamente o registro complementar.  Exceto quando o emitente da DPS for MEI na data de competência da emissão da NFS-e.		Obrig.	Rej.	E0287	A IM não foi informada para o emitente intermediário do serviço na DPS.	2	V	X	X	X	-
212			Verificar se o IM informado na DPS está autorizado a emitir NFS-e na data de processamento desta DPS, se o emitente for o intermediário de serviço (tpEmit = 3) e, se houver registro complementar do contribuinte no CNC do município correspondente ao município emissor da DPS, então a IM deve ser informada na DPS.  Utilizar o identificador federal (CNPJ ou CPF) do intermediário de serviço, o codigo do município emissor (cLocEmi) e o IM,  informados na DPS, para identificar o registro complementar no CNC NFS-e.  Exceto quando o emitente da DPS for MEI na data de competência da emissão da NFS-e.		Obrig.	Rej.	E0289	IM do emitente intermediário não está autorizado a emitir NFS-e, conforme informações complementares registradas no CNC NFS-e do município emissor informado na DPS.	2	V	X	X	X	-
213			Se o emitente for o intermediário de serviço (tpEmit = 3) e, se não houver registro complementar do contribuinte no CNC do município correspondente ao município emissor da DPS, então o IM não deve ser informado na DPS.  Utilizar o identificador federal (CNPJ ou CPF) do intermediário de serviço, o codigo do município emissor (cLocEmi) e o IM,  informados na DPS, para identificar o registro complementar no CNC NFS-e.		Obrig.	Rej.	E0290	IM do intermediário não deve ser informado, pois não existem informações complementares registradas no CNC NFS-e do município emissor informado na DPS.	2	V	X	X	X	-
214			Utilizar o identificador federal (CNPJ ou CPF) do prestador de serviço, o codigo do município emissor (cLocEmi) e o IM,  informados na DPS, para identificar o registro complementar no CNC NFS-e.  Para o emitente intermediário de serviço (tpEmit = 3), verificar se o IM informado nesta DPS está Inativo (cStat) no CNC do município emissor na data de competência informada.   Se todos os registros complementares estiverem inativos, utilizar as informações dos cadastros RFB (CNPJ ou CPF), conforme identificador federal utilizado para identificar o emitente da DPS.		Obrig.	Rej.	E0288	O IM informado está inativo no CNC NFS-e do município emissor para a data de competência informada na DPS. 	2	V	X	X	X	-
215	NFSe/infNFSe/DPS/infDPS/interm/	xNome	Se NIF for preenchido então o campo xNome deve ser preenchido obrigatoriamente.		Obrig.	Rej.	E0292	O nome intermediário deve ser preenchido obrigatoriamente quando o NIF do intermediário for preenchido.	1	V	-	V	-	-
216	NFSe/infNFSe/DPS/infDPS/interm/	end	-		-	-	-	-	-	-	-	-	-	-
217	NFSe/infNFSe/DPS/infDPS/interm/end/	endNac	Se o tpEmit é igual a 1 e o intermediário foi identificado pelo CNPJ, então o grupo de informações de endereço nacional do intermediário do serviço deve ser informado obrigatoriamente.		Obrig.	Rej.	E1388	O endereço nacional do intermediário do serviço deve ser informado na DPS quando o intermediário for identificado pelo CNPJ.	1	X	X	V	X	-
218			Se o emitente da DPS é o intermediário do serviço (tpEmit = 3), então o grupo de informações do endereço nacional do intermediário não deve ser informado na DPS.		Obrig.	Rej.	E0291	O endereço nacional do intermediário do serviço não deve ser informado na DPS quando o próprio tomador do serviço for o emitente da DPS.	1	V	X	V	X	-
219			Se o valor do ISSQN deve ser retido pelo intermediário do serviço (tpRetISSQN = 3), então o grupo de informações do endereço nacional deve ser informado na DPS obrigatoriamente, exceto se o emitente da DPS é o intermediário do serviço (tpEmit = 3).		Obrig.	Rej.	E0293	O endereço nacional do intermediário do serviço deve ser informado na DPS quando o valor do ISSQN for retido pelo intermediário, exceto se o emitente da DPS é o intermediário do serviço.	1	V	X	V	X	-
220	NFSe/infNFSe/DPS/infDPS/interm/end/endNac/	cMun	O código do município informado para o endereço do intermediário do serviço não existe, conforme tabela de municípios do IBGE.		Obrig.	Rej.	E0294	O código do município informado na DPS para o endereço do intermediário do serviço não existe conforme tabela de município do IBGE.	1	V	V	V	V	-
221	NFSe/infNFSe/DPS/infDPS/interm/end/endNac/	CEP	O CEP informado deve existir e pertencer ao município correspondente ao código do município informado para o endereço do intermediário do serviço.		Obrig.	Rej.	E0296	O CEP informado para o endereço nacional do intermediário do serviço não existe ou não pertence ao município do endereço do intermediário.	1	V	X	V	X	-
222	NFSe/infNFSe/DPS/infDPS/interm/end/	endExt	Se o NIF do intermediário de serviço foi informado e o emitente da DPS for identificado por CNPJ, então o grupo de informações de endereço no exterior do tomador do serviço deve ser informado obrigatoriamente.		Obrig.	Rej.	E0298	O grupo de informações de endereço no exterior deve ser informado obrigatoriamente quando o intermediário for identificado pelo NIF e o emitente por CNPJ.	1	V	X	V	X	-
223	NFSe/infNFSe/DPS/infDPS/interm/end/endExt/	cPais	O código de país informado para o endereço no exterior do intermediário do serviço deve existir e ser diferente de Brasil (BR), conforme a tabela ISO2.		Obrig.	Rej.	E0299	O código de país informado para o endereço no exterior do intermediário do serviço não existe ou é igual ao código do Brasil. Informe um código de país existente e diferente do codigo do Brasil (BR) para o endereço no exterior do intermediário do serviço, conforme tabela de país ISO2.	1	V	V	V	V	-
224	NFSe/infNFSe/DPS/infDPS/interm/end/endExt/	cEndPost	-		-	-	-	-	-	-	-	-	-	-
225	NFSe/infNFSe/DPS/infDPS/interm/end/endExt/	xCidade	-		-	-	-	-	-	-	-	-	-	-
226	NFSe/infNFSe/DPS/infDPS/interm/end/endExt/	xEstProvReg	-		-	-	-	-	-	-	-	-	-	-
227	NFSe/infNFSe/DPS/infDPS/interm/end/	xLgr	-		-	-	-	-	-	-	-	-	-	-
228	NFSe/infNFSe/DPS/infDPS/interm/end/	nro	-		-	-	-	-	-	-	-	-	-	-
229	NFSe/infNFSe/DPS/infDPS/interm/end/	xCpl	-		-	-	-	-	-	-	-	-	-	-
230	NFSe/infNFSe/DPS/infDPS/interm/end/	xBairro	-		-	-	-	-	-	-	-	-	-	-
231	NFSe/infNFSe/DPS/infDPS/interm/	fone	-		-	-	-	-	-	-	-	-	-	-
232	NFSe/infNFSe/DPS/infDPS/interm/	email	Email deve ser informado conforme estrutura (conter @, ponto etc.).		Obrig.	Rej.	E0300	Email inválido.	2	V	X	V	X	-
